index,annotator,datasource,doc_id,end_index,entity_id,entity,is_keyphrase,phrase,start_index
0,kevin,wikinews,68,1158.0,9,Secretary of State for Defence,0.0,"The British Ministry of Defense said the dead included 12 Royal Air Force personnel, a Royal Marine and an army soldier",1039.0
1,kevin,wikinews,68,1631.0,9,Secretary of State for Defence,0.0,British Secretary of State for Defence Des Browne,1582.0
0,kevin,wikinews,14,47.0,0,China,1.0,China anti-textbook protests grow larger,7.0
1,kevin,wikinews,14,181.0,0,China,1.0,U.N. Security Council Chinese protests against the publication of a Japanese government textbook continued for a second day in China,49.0
2,kevin,wikinews,14,1346.0,0,China,0.0,"The Japanese government has claimed that the demonstrations have an ""anti-Japanese sentiment,"" for which China should apologise",1219.0
3,kevin,wikinews,14,1456.0,0,China,0.0,"In Tokyo, Japan formally summoned Wang Yi, China's ambassador to Japan, concerning China's actions on Sunday",1348.0
4,kevin,wikinews,14,1565.0,0,China,0.0,"""We formally demanded China’s apology and compensation,"" said Japanese Foreign Minister Nobutaka Machimura",1459.0
5,kevin,wikinews,14,1776.0,0,China,0.0,Wang claimed that China did not approve of the violent aspects of the protests,1698.0
6,kevin,wikinews,14,1839.0,0,China,0.0,"""The government does not agree with extreme action,"" he said",1779.0
7,kevin,wikinews,14,2018.0,0,China,0.0,"Back in Beijing, the People's Daily reported that Chinese Foreign Ministry spokesman Qin Gang deflected blame away from China for the recent downturn in Sino-Japanese relations",1842.0
8,kevin,wikinews,14,731.0,0,China,0.0,They also carried anti-Japanese signs along with Chinese flags,669.0
9,kevin,wikinews,14,846.0,0,China,0.0,"Chinese view the textbook as ""whitewashing"" the events and actions of Japan to cast them in a more positive light",733.0
10,kevin,wikinews,14,2173.0,0,China,0.0,"""Japan must adopt an earnest attitude and appropriate ways to deal with major principled issues concerning the feelings of the Chinese people,"" Qin said",2021.0
0,kevin,wikinews,40,650.0,2,United Kingdom,0.0,"Ministers from the United States, Britain, and France, were circulating a draft of the resolution with stronger wording on action in the event that Syria failed to cooperate",477.0
0,kevin,wikinews,43,210.0,2,Greenwich Mean Time,1.0,"European Space Agency's probe to Venus was successfully launched on Wednesday, November 9, at 0333 GMT from the Baikonur Cosmodrome in Kazakhstan",65.0
0,kevin,wikinews,45,748.0,0,Afghanistan,0.0,The U.S. has made no official claim of responsibility for the cross-border attack from Afghanistan,650.0
1,kevin,wikinews,45,1408.0,0,Afghanistan,0.0,"But your leaders, who are keen to accumulate wealth, insist on throwing you in battles and killing your souls in Iraq and Afghanistan and — God willing — on your own land.""",1236.0
0,kevin,wikinews,27,755.0,9,Adolf Hitler,0.0,"Ahenakew stated that Jews were ""a disease"" and that Hitler was trying to ""clean up the world"" when he ""fried six million of those guys.""",619.0
0,kevin,wikinews,42,196.0,5,United States,1.0,The United States Senate met behind closed doors on Tuesday under Democratic pressure to investigate the intelligence that led to the war in Iraq,51.0
1,kevin,wikinews,42,49.0,5,United States,1.0,US Senate meets in private session,15.0
0,kevin,wikinews,4,496.0,4,Wales,1.0,"This means hunting with dogs for foxes, hares and badgers will be illegal from Friday 18 February in England and Wales in accordance with the Hunting Act 2004",338.0
0,kevin,wikinews,10,49.0,1,United Nations,1.0,Kofi Annan unveils UN reform plan,16.0
1,kevin,wikinews,10,177.0,1,United Nations,1.0,UN Secretary General Kofi Annan will formally present a plan this morning to the UN General Assembly when it meets in New York,51.0
2,kevin,wikinews,10,314.0,1,United Nations,0.0,"The plan, entitled In Larger Freedom, is part of the UN's attempt to revitalise itself during its sixtieth anniversary year",191.0
3,kevin,wikinews,10,725.0,1,United Nations,0.0,"The Canadian ambassador to the UN, Allan Rock, was the first diplomat to officially respond by saying, ""A lot of hard work lies ahead but we are optimistic",570.0
0,kevin,wikinews,72,784.0,1,Kofi Annan,0.0,"The current Secretary-General, Kofi Annan, said, in a statement, that he has the ""highest respect for Mr. Ban, having had the pleasure of working with him both in his present capacity and when he was Chef de Cabinet to the President of the General Assembly"".",526.0
0,kevin,wikinews,6,1475.0,3,Cocaine,0.0,However the coca is also the raw material for cocaine,1422.0
1,kevin,wikinews,6,1613.0,3,Cocaine,0.0,"Coca products are exported to drug cartels in Argentina, Brazil, Chile, European Union, and the USA as reported by arrested drug dealers",1477.0
